file name,gate num,swap,depth,time
54QBT_35CYC_QSE_0.out,1342,219,176,0.1572314389050007
54QBT_35CYC_QSE_1.out,1342,149,132,0.10365377506241202
54QBT_35CYC_QSE_2.out,1342,195,156,0.12244274979457259
54QBT_35CYC_QSE_3.out,1342,207,157,0.12627563416026533
54QBT_35CYC_QSE_4.out,1342,153,125,0.1078029212076217
54QBT_45CYC_QSE_0.out,1727,199,167,0.14839069894514978
54QBT_45CYC_QSE_1.out,1727,357,274,0.19733449700288475
54QBT_45CYC_QSE_2.out,1727,307,253,0.18139651510864496
54QBT_45CYC_QSE_3.out,1727,220,218,0.1536171769257635
54QBT_45CYC_QSE_4.out,1727,306,227,0.18157507292926311
36_adder_n28.out,496,64,294,0.046279774978756905
36_knn_31.out,426,41,191,0.02722732606343925
81_knn_67.out,930,100,418,0.06249411404132843
361_knn_341.out,4766,985,2432,0.5470409721601754
100_adder_n64.out,1156,199,569,0.1268456040415913
36_bv_30.out,195,8,48,0.008175513008609414
36_isling_34.out,368,15,35,0.021432030014693737
100_isling_34.out,1072,91,37,0.07876712386496365
36_qft_n29.out,2117,285,582,0.1795140621252358
100_qft_n63.out,8689,1418,1656,0.8910577460192144
7_ghz_40.out,42,21,62,0.007364730117842555
36_QV_n32.out,5632,812,1413,0.4570825300179422
swap_test_n41.out,606,49,252,0.03626926988363266
swap_test_n83.out,1236,135,516,0.08305858005769551
121_adder_n118.out,2146,389,1012,0.2384387799538672
81_bv_70.out,453,40,121,0.024536713026463985
144_bv_140.out,909,130,228,0.059265878051519394
289_bv_280.out,1829,200,481,0.12764670490287244
81_cat_65.out,67,49,114,0.014017939800396562
144_cat_130.out,132,174,280,0.037398056127130985
36_dnn_33.out,874,78,413,0.05410930491052568
36_wstate_33.out,281,22,162,0.01494681485928595
eagle_adder_n28.out,496,172,374,0.06485124002210796
eagle_knn_31.out,426,59,224,0.03213874902576208
eagle_knn_67.out,930,139,495,0.06606547813862562
eagle_adder_n64.out,1156,332,638,0.13885737000964582
eagle_bv_30.out,195,22,58,0.015285859117284417
eagle_isling_34.out,1072,133,40,0.08998899487778544
eagle_qft_n29.out,2117,427,493,0.20143850101158023
eagle_qft_n63.out,8689,2073,1345,0.9687393710482866
eagle_ghz_40.out,42,62,104,0.015451238956302404
eagle_QV_n32.out,5632,1307,1106,0.5313742051366717
eagle_swap_test_n41.out,606,63,290,0.04203865211457014
eagle_swap_test_n83.out,1236,214,610,0.09470626316033304
eagle_adder_n118.out,2146,609,1149,0.2574955839663744
eagle_bv_70.out,453,82,143,0.02946083201095462
eagle_cat_65.out,67,151,213,0.024458024883642793
eagle_dnn_33.out,874,104,385,0.059396930038928986
eagle_wstate_33.out,281,85,189,0.029156945878639817
eagle_qaoa_24_0.out,36,56,35,0.014224849874153733
eagle_qaoa_36_0.out,54,82,36,0.024914373876526952
eagle_qaoa_40_0.out,60,114,57,0.026478536892682314
eagle_qaoa_50_0.out,75,141,42,0.03714130213484168
eagle_qaoa_60_0.out,90,201,65,0.04537005699239671
eagle_qaoa_70_0.out,105,255,64,0.05952532007358968
eagle_qaoa_80_0.out,120,376,91,0.0739250578917563
eagle_qaoa_90_0.out,135,431,85,0.0977843189612031
eagle_qaoa_100_0.out,150,447,68,0.10800648084841669
eagle_qaoa_110_0.out,165,558,90,0.1304156892001629
eagle_qaoa_120_0.out,180,609,96,0.1401239400729537
qaoa_24_0.out,36,26,23,0.008253584848716855
qaoa_36_0.out,54,40,24,0.012440034886822104
qaoa_40_0.out,60,59,51,0.01846101600676775
qaoa_50_0.out,75,64,29,0.02419143612496555
qaoa_60_0.out,90,117,56,0.03605994279496372
qaoa_70_0.out,105,108,44,0.03915005107410252
qaoa_80_0.out,120,207,64,0.05991516914218664
qaoa_90_0.out,135,229,68,0.07711652107536793
qaoa_100_0.out,150,264,71,0.08764445688575506
qaoa_110_0.out,165,291,57,0.10968612390570343
qaoa_120_0.out,180,349,54,0.13400228088721633
qaoa_200_0.out,300,815,142,0.39574009901843965
qaoa_250_0.out,375,1123,129,0.5648534740321338
qaoa_300_0.out,450,1715,194,0.853163368999958
qaoa_350_0.out,525,2256,198,1.4726352819707245
qaoa_400_0.out,600,2862,281,1.8204323330428451
qaoa_450_0.out,675,3462,271,2.4025184898637235
qaoa_500_0.out,750,4053,329,3.1321838800795376
qaoa_550_0.out,825,5515,483,4.446184465894476
qaoa_600_0.out,900,5714,536,4.366780596086755
qaoa_650_0.out,975,6326,471,6.4670637510716915
qaoa_700_0.out,1050,7493,517,7.439136520959437
qaoa_750_0.out,1125,8141,577,8.829934870125726
qaoa_800_0.out,1200,9958,690,11.306850772118196
qaoa_850_0.out,1275,10753,781,12.643348644021899
qaoa_900_0.out,1350,11571,827,12.590045478893444
qaoa_950_0.out,1425,12627,801,17.18680520611815
qaoa_1000_0.out,1500,13981,1067,18.62182198301889
